id,block_timestamp,event_index,extrinsic_index,phase,module_id,event_id,extrinsic_hash,finalized,params
3011389600000,1757960874,30113896-0,,2,staking,EraPaid,0xbf489af47118e5b1786b62b3b6d74faec9ef56387ceb966818e9b6d6be087c96,True,"[{'type': 'U32', 'type_name': 'EraIndex', 'value': 8574, 'name': 'era_index'}, {'type': 'U128', 'type_name': 'BalanceOf', 'value': '836775199500113', 'name': 'validator_payout'}, {'type': 'U128', 'type_name': 'BalanceOf', 'value': '292115187020094', 'name': 'remainder'}]"
3011033900000,1757939274,30110339-0,,2,staking,EraPaid,0xe02a402cdf3e94bfdd94de5bfc638f105dda0330b1f59d1f8c7fa00926bf5538,True,"[{'type': 'U32', 'type_name': 'EraIndex', 'value': 8573, 'name': 'era_index'}, {'type': 'U128', 'type_name': 'BalanceOf', 'value': '836967237686239', 'name': 'validator_payout'}, {'type': 'U128', 'type_name': 'BalanceOf', 'value': '291853291361124', 'name': 'remainder'}]"
3010678800000,1757917674,30106788-0,,2,staking,EraPaid,0xf5bca92da4453f0d240843eae5b608d3ea07b95d532002cd671a36bdd7254cb3,True,"[{'type': 'U32', 'type_name': 'EraIndex', 'value': 8572, 'name': 'era_index'}, {'type': 'U128', 'type_name': 'BalanceOf', 'value': '837062618259142', 'name': 'validator_payout'}, {'type': 'U128', 'type_name': 'BalanceOf', 'value': '291701026211121', 'name': 'remainder'}]"
3010322700000,1757896074,30103227-0,,2,staking,EraPaid,0x24b3ba15d0c7e3a306b6c971d57f9c16f090c83d5ea3e058119f82dc580ad798,True,"[{'type': 'U32', 'type_name': 'EraIndex', 'value': 8571, 'name': 'era_index'}, {'type': 'U128', 'type_name': 'BalanceOf', 'value': '837072560768461', 'name': 'validator_payout'}, {'type': 'U128', 'type_name': 'BalanceOf', 'value': '291635760274875', 'name': 'remainder'}]"
3009967300000,1757874474,30099673-0,,2,staking,EraPaid,0x609f64057be3dbc775fe1ae91631ba4f654890ed10a6261dbaf5cb0060bd6daa,True,"[{'type': 'U32', 'type_name': 'EraIndex', 'value': 8570, 'name': 'era_index'}, {'type': 'U128', 'type_name': 'BalanceOf', 'value': '836737155970582', 'name': 'validator_payout'}, {'type': 'U128', 'type_name': 'BalanceOf', 'value': '291918386177565', 'name': 'remainder'}]"
3009612400000,1757852874,30096124-0,,2,staking,EraPaid,0x7c9cad60962992942e0dbe23e9bdb7b5f93d8a44a37c0e98e13a0779e5437914,True,"[{'type': 'U32', 'type_name': 'EraIndex', 'value': 8569, 'name': 'era_index'}, {'type': 'U128', 'type_name': 'BalanceOf', 'value': '837014956590410', 'name': 'validator_payout'}, {'type': 'U128', 'type_name': 'BalanceOf', 'value': '291585619103279', 'name': 'remainder'}]"
3009258100000,1757831274,30092581-0,,2,staking,EraPaid,0x1bb0362d187b2bf18bc44f5f2426af8ea46d0fc389405a1c412261f1bd5e0688,True,"[{'type': 'U32', 'type_name': 'EraIndex', 'value': 8568, 'name': 'era_index'}, {'type': 'U128', 'type_name': 'BalanceOf', 'value': '837006733733310', 'name': 'validator_payout'}, {'type': 'U128', 'type_name': 'BalanceOf', 'value': '291529527950263', 'name': 'remainder'}]"
3008901600000,1757809674,30089016-0,,2,staking,EraPaid,0x6acd168b340014054c866e31a22ca999e2237493b163dc8c1b5cc736ca1652cf,True,"[{'type': 'U32', 'type_name': 'EraIndex', 'value': 8567, 'name': 'era_index'}, {'type': 'U128', 'type_name': 'BalanceOf', 'value': '836936261833074', 'name': 'validator_payout'}, {'type': 'U128', 'type_name': 'BalanceOf', 'value': '291549319213970', 'name': 'remainder'}]"
3008546400000,1757788074,30085464-0,,2,staking,EraPaid,0x2675a2c2dba9a150964bc32bf73627992408010a8448fbddd7acf275f9c1b3d7,True,"[{'type': 'U32', 'type_name': 'EraIndex', 'value': 8566, 'name': 'era_index'}, {'type': 'U128', 'type_name': 'BalanceOf', 'value': '836880608852494', 'name': 'validator_payout'}, {'type': 'U128', 'type_name': 'BalanceOf', 'value': '291555006976671', 'name': 'remainder'}]"
3008192300000,1757766474,30081923-0,,2,staking,EraPaid,0x8e691ae6b25d1d95ea2f219eeecd9b686990013da70f8259f0690d030ae9d420,True,"[{'type': 'U32', 'type_name': 'EraIndex', 'value': 8565, 'name': 'era_index'}, {'type': 'U128', 'type_name': 'BalanceOf', 'value': '836759776485838', 'name': 'validator_payout'}, {'type': 'U128', 'type_name': 'BalanceOf', 'value': '291618539550374', 'name': 'remainder'}]"
3007837100000,1757744874,30078371-0,,2,staking,EraPaid,0xb8f2bef559d02fc7378acc3f5343c61c67bafab6cfae8bcc51ad31b88e55d6fa,True,"[{'type': 'U32', 'type_name': 'EraIndex', 'value': 8564, 'name': 'era_index'}, {'type': 'U128', 'type_name': 'BalanceOf', 'value': '836665820357089', 'name': 'validator_payout'}, {'type': 'U128', 'type_name': 'BalanceOf', 'value': '291660736588687', 'name': 'remainder'}]"
3007483300000,1757723274,30074833-0,,2,staking,EraPaid,0xff99cb5f47ca2f53e06bf6a85f773db85190182c0ce039904e3ebd7385e153c2,True,"[{'type': 'U32', 'type_name': 'EraIndex', 'value': 8563, 'name': 'era_index'}, {'type': 'U128', 'type_name': 'BalanceOf', 'value': '836501968857681', 'name': 'validator_payout'}, {'type': 'U128', 'type_name': 'BalanceOf', 'value': '291771797455558', 'name': 'remainder'}]"
3007127100000,1757701674,30071271-0,,2,staking,EraPaid,0x38424727c9fb27808285addb77ef8f796d2edd8db884b9282667a7b87fa77b1b,True,"[{'type': 'U32', 'type_name': 'EraIndex', 'value': 8562, 'name': 'era_index'}, {'type': 'U128', 'type_name': 'BalanceOf', 'value': '835772184418367', 'name': 'validator_payout'}, {'type': 'U128', 'type_name': 'BalanceOf', 'value': '292451535947357', 'name': 'remainder'}]"
3006771400000,1757680074,30067714-0,,2,staking,EraPaid,0x9c1e7b2d1ca26c13f25bcfb051a054cb5915fd0386de822c9ae1bb8b291df453,True,"[{'type': 'U32', 'type_name': 'EraIndex', 'value': 8561, 'name': 'era_index'}, {'type': 'U128', 'type_name': 'BalanceOf', 'value': '834663179486679', 'name': 'validator_payout'}, {'type': 'U128', 'type_name': 'BalanceOf', 'value': '293506507660726', 'name': 'remainder'}]"
3006417800000,1757658474,30064178-0,,2,staking,EraPaid,0xd80be66aeb2bca823cedc6f5462a69f57fe1da45ed95e8c2a396b47f15b092fa,True,"[{'type': 'U32', 'type_name': 'EraIndex', 'value': 8560, 'name': 'era_index'}, {'type': 'U128', 'type_name': 'BalanceOf', 'value': '834533052441781', 'name': 'validator_payout'}, {'type': 'U128', 'type_name': 'BalanceOf', 'value': '293063047692438', 'name': 'remainder'}]"
3006063800000,1757636874,30060638-0,,2,staking,EraPaid,0x90ffeda3cd95ee30b89427d720b57b2f9991624f6909b635f2f324fd2d3783e3,True,"[{'type': 'U32', 'type_name': 'EraIndex', 'value': 8559, 'name': 'era_index'}, {'type': 'U128', 'type_name': 'BalanceOf', 'value': '835123675932524', 'name': 'validator_payout'}, {'type': 'U128', 'type_name': 'BalanceOf', 'value': '292417209177695', 'name': 'remainder'}]"
3005708800000,1757615274,30057088-0,,2,staking,EraPaid,0x753458ddf03d70c42adf08722b456f2b4c2fbb98f9e67a0b3e92a06b0ac6708e,True,"[{'type': 'U32', 'type_name': 'EraIndex', 'value': 8558, 'name': 'era_index'}, {'type': 'U128', 'type_name': 'BalanceOf', 'value': '835880383025634', 'name': 'validator_payout'}, {'type': 'U128', 'type_name': 'BalanceOf', 'value': '291605826832016', 'name': 'remainder'}]"
3005354500000,1757593674,30053545-0,,2,staking,EraPaid,0x304aab230157bd8237c3c6222cb5d1b43d68c5faae9f8482680350b49a41760e,True,"[{'type': 'U32', 'type_name': 'EraIndex', 'value': 8557, 'name': 'era_index'}, {'type': 'U128', 'type_name': 'BalanceOf', 'value': '835803078832095', 'name': 'validator_payout'}, {'type': 'U128', 'type_name': 'BalanceOf', 'value': '291628216193844', 'name': 'remainder'}]"
3004999400000,1757572074,30049994-0,,2,staking,EraPaid,0xd82407fff95dca5c3b524f8875fc8ebb9ac3d95242e595ade7a743a8dd7eefb2,True,"[{'type': 'U32', 'type_name': 'EraIndex', 'value': 8556, 'name': 'era_index'}, {'type': 'U128', 'type_name': 'BalanceOf', 'value': '835236194155982', 'name': 'validator_payout'}, {'type': 'U128', 'type_name': 'BalanceOf', 'value': '292122887777816', 'name': 'remainder'}]"
3004645600000,1757550474,30046456-0,,2,staking,EraPaid,0xcc5857361f35ce54527466aff7ebfb41369efbee71fe198cdf514c2546b0a723,True,"[{'type': 'U32', 'type_name': 'EraIndex', 'value': 8555, 'name': 'era_index'}, {'type': 'U128', 'type_name': 'BalanceOf', 'value': '835175628927618', 'name': 'validator_payout'}, {'type': 'U128', 'type_name': 'BalanceOf', 'value': '292130640976446', 'name': 'remainder'}]"
3004290400000,1757528874,30042904-0,,2,staking,EraPaid,0x1493f2e8d09a4ef6ebcaaae97c36295a55c1aa249a5962636b3453ba719dd537,True,"[{'type': 'U32', 'type_name': 'EraIndex', 'value': 8554, 'name': 'era_index'}, {'type': 'U128', 'type_name': 'BalanceOf', 'value': '835098136190705', 'name': 'validator_payout'}, {'type': 'U128', 'type_name': 'BalanceOf', 'value': '292154582713746', 'name': 'remainder'}]"
3003935500000,1757507274,30039355-0,,2,staking,EraPaid,0xce08d05831ebced61e5a37b7551edb1d70cfab4ced9009ba136cfbd067cd9f50,True,"[{'type': 'U32', 'type_name': 'EraIndex', 'value': 8553, 'name': 'era_index'}, {'type': 'U128', 'type_name': 'BalanceOf', 'value': '835366189100742', 'name': 'validator_payout'}, {'type': 'U128', 'type_name': 'BalanceOf', 'value': '291830049333582', 'name': 'remainder'}]"
3003580600000,1757485674,30035806-0,,2,staking,EraPaid,0x389c9a88abf82b1f19f076c91fe596e5c666662282fa6d6aca5177888f551abf,True,"[{'type': 'U32', 'type_name': 'EraIndex', 'value': 8552, 'name': 'era_index'}, {'type': 'U128', 'type_name': 'BalanceOf', 'value': '835254015489388', 'name': 'validator_payout'}, {'type': 'U128', 'type_name': 'BalanceOf', 'value': '291886338926882', 'name': 'remainder'}]"
3003224900000,1757464074,30032249-0,,2,staking,EraPaid,0x796282533fbe32f93b4356c72044823d0b10a6ef8350288739f45632bcc6ed53,True,"[{'type': 'U32', 'type_name': 'EraIndex', 'value': 8551, 'name': 'era_index'}, {'type': 'U128', 'type_name': 'BalanceOf', 'value': '834855945152547', 'name': 'validator_payout'}, {'type': 'U128', 'type_name': 'BalanceOf', 'value': '292229951444165', 'name': 'remainder'}]"
3002870600000,1757442474,30028706-0,,2,staking,EraPaid,0x326af76839313d768d9ea6e188f10e2370cf86df6a5c427134e0cb4872fca8e0,True,"[{'type': 'U32', 'type_name': 'EraIndex', 'value': 8550, 'name': 'era_index'}, {'type': 'U128', 'type_name': 'BalanceOf', 'value': '834842241560907', 'name': 'validator_payout'}, {'type': 'U128', 'type_name': 'BalanceOf', 'value': '292188119457420', 'name': 'remainder'}]"
3002519600000,1757420874,30025196-0,,2,staking,EraPaid,0xa7942bf95123efbfab43a67b0f5bb61a414dff66ee13745858de2be0f7ba733f,True,"[{'type': 'U32', 'type_name': 'EraIndex', 'value': 8549, 'name': 'era_index'}, {'type': 'U128', 'type_name': 'BalanceOf', 'value': '835168715697154', 'name': 'validator_payout'}, {'type': 'U128', 'type_name': 'BalanceOf', 'value': '291804648098981', 'name': 'remainder'}]"
3002166900000,1757399274,30021669-0,,2,staking,EraPaid,0x8c6e87d5aecdcc1cf243342c48f5d117157d8d2902159d6b21bf4e36ab8c8b65,True,"[{'type': 'U32', 'type_name': 'EraIndex', 'value': 8548, 'name': 'era_index'}, {'type': 'U128', 'type_name': 'BalanceOf', 'value': '835022943897337', 'name': 'validator_payout'}, {'type': 'U128', 'type_name': 'BalanceOf', 'value': '291888988216591', 'name': 'remainder'}]"
3001813300000,1757377674,30018133-0,,2,staking,EraPaid,0x3ad1ce54437c6c1ceaac83a3272a7d3dd914db7a07069cde2eda3fd7ae933655,True,"[{'type': 'U32', 'type_name': 'EraIndex', 'value': 8547, 'name': 'era_index'}, {'type': 'U128', 'type_name': 'BalanceOf', 'value': '835164741582012', 'name': 'validator_payout'}, {'type': 'U128', 'type_name': 'BalanceOf', 'value': '291690817932087', 'name': 'remainder'}]"
3001460100000,1757356074,30014601-0,,2,staking,EraPaid,0xd8e8c4bf48da2b207790dadbf9643a9cf0e3e30598c0dd9ac9d52492f14362b2,True,"[{'type': 'U32', 'type_name': 'EraIndex', 'value': 8546, 'name': 'era_index'}, {'type': 'U128', 'type_name': 'BalanceOf', 'value': '834971759303081', 'name': 'validator_payout'}, {'type': 'U128', 'type_name': 'BalanceOf', 'value': '291822548995696', 'name': 'remainder'}]"
3001104900000,1757334474,30011049-0,,2,staking,EraPaid,0x6e0e92de8112073569437bb34117105cc7acb64ec2c856c18baa54f42dfb1a5e,True,"[{'type': 'U32', 'type_name': 'EraIndex', 'value': 8545, 'name': 'era_index'}, {'type': 'U128', 'type_name': 'BalanceOf', 'value': '835153642070276', 'name': 'validator_payout'}, {'type': 'U128', 'type_name': 'BalanceOf', 'value': '291582972323592', 'name': 'remainder'}]"
3000749200000,1757312874,30007492-0,,2,staking,EraPaid,0xe34f8a96b23bd4bba71d91f8e5f636e1dc011c109c9ac2466269e42dc3efac63,True,"[{'type': 'U32', 'type_name': 'EraIndex', 'value': 8544, 'name': 'era_index'}, {'type': 'U128', 'type_name': 'BalanceOf', 'value': '834475230934964', 'name': 'validator_payout'}, {'type': 'U128', 'type_name': 'BalanceOf', 'value': '292204889028457', 'name': 'remainder'}]"
3000393900000,1757291274,30003939-0,,2,staking,EraPaid,0xbbdae9eaafa0e00245b385b096921bd0daca28721adf03235cd289fbb7936318,True,"[{'type': 'U32', 'type_name': 'EraIndex', 'value': 8543, 'name': 'era_index'}, {'type': 'U128', 'type_name': 'BalanceOf', 'value': '834390991183271', 'name': 'validator_payout'}, {'type': 'U128', 'type_name': 'BalanceOf', 'value': '292229057071394', 'name': 'remainder'}]"
3000039000000,1757269674,30000390-0,,2,staking,EraPaid,0xc5136be6294685f98fd9987e74b06b8c3a4c6fd0e46c7eec25714e76da141427,True,"[{'type': 'U32', 'type_name': 'EraIndex', 'value': 8542, 'name': 'era_index'}, {'type': 'U128', 'type_name': 'BalanceOf', 'value': '834389812084288', 'name': 'validator_payout'}, {'type': 'U128', 'type_name': 'BalanceOf', 'value': '292165541746038', 'name': 'remainder'}]"
2999684900000,1757248074,29996849-0,,2,staking,EraPaid,0xd615b3b6464d7e7b646f11f5fd0509f08e130e748c73f4878bc0fd76ac67c09d,True,"[{'type': 'U32', 'type_name': 'EraIndex', 'value': 8541, 'name': 'era_index'}, {'type': 'U128', 'type_name': 'BalanceOf', 'value': '833802847301399', 'name': 'validator_payout'}, {'type': 'U128', 'type_name': 'BalanceOf', 'value': '292695730447881', 'name': 'remainder'}]"
2999329400000,1757226474,29993294-0,,2,staking,EraPaid,0x7d0965983770ba0d489dd5dbd2910083f6ba71b39dde47230c54d16df33bea37,True,"[{'type': 'U32', 'type_name': 'EraIndex', 'value': 8540, 'name': 'era_index'}, {'type': 'U128', 'type_name': 'BalanceOf', 'value': '833746397620200', 'name': 'validator_payout'}, {'type': 'U128', 'type_name': 'BalanceOf', 'value': '292700189563072', 'name': 'remainder'}]"
2998973800000,1757204874,29989738-0,,2,staking,EraPaid,0xcb3c9f15aee8767b11d26b5b4cb44837108ab3953b77920cd7e1cbd40a598f95,True,"[{'type': 'U32', 'type_name': 'EraIndex', 'value': 8539, 'name': 'era_index'}, {'type': 'U128', 'type_name': 'BalanceOf', 'value': '833723788556243', 'name': 'validator_payout'}, {'type': 'U128', 'type_name': 'BalanceOf', 'value': '292667710049393', 'name': 'remainder'}]"
2998618700000,1757183274,29986187-0,,2,staking,EraPaid,0x70ae0e82050b3cee1750da2c4debbe8df5580f627aa02ace61ad7f627b9aaf68,True,"[{'type': 'U32', 'type_name': 'EraIndex', 'value': 8538, 'name': 'era_index'}, {'type': 'U128', 'type_name': 'BalanceOf', 'value': '833672362942070', 'name': 'validator_payout'}, {'type': 'U128', 'type_name': 'BalanceOf', 'value': '292664741697750', 'name': 'remainder'}]"
2998262200000,1757161674,29982622-0,,2,staking,EraPaid,0x80635a4c1c7d1e54001a1723032f3f658630c028e25e1161ea20b7bd1ba77e6d,True,"[{'type': 'U32', 'type_name': 'EraIndex', 'value': 8537, 'name': 'era_index'}, {'type': 'U128', 'type_name': 'BalanceOf', 'value': '833418038606757', 'name': 'validator_payout'}, {'type': 'U128', 'type_name': 'BalanceOf', 'value': '292860181691675', 'name': 'remainder'}]"
2997906400000,1757140074,29979064-0,,2,staking,EraPaid,0xe6f78d55d5ab53664f7dde0e7284bd720dee4b896e36d6e022f551a0d410f30f,True,"[{'type': 'U32', 'type_name': 'EraIndex', 'value': 8536, 'name': 'era_index'}, {'type': 'U128', 'type_name': 'BalanceOf', 'value': '833346562084549', 'name': 'validator_payout'}, {'type': 'U128', 'type_name': 'BalanceOf', 'value': '292871772853522', 'name': 'remainder'}]"
2997551800000,1757118474,29975518-0,,2,staking,EraPaid,0x63b9eb9eae76e23d12f5ea2626844b9460bac2f93196792e1c1cbc1247e3cc69,True,"[{'type': 'U32', 'type_name': 'EraIndex', 'value': 8535, 'name': 'era_index'}, {'type': 'U128', 'type_name': 'BalanceOf', 'value': '833266325426230', 'name': 'validator_payout'}, {'type': 'U128', 'type_name': 'BalanceOf', 'value': '292902377455922', 'name': 'remainder'}]"
2997196200000,1757096874,29971962-0,,2,staking,EraPaid,0x9b0abd38f2f8ea7a476ccb1f0fbd358382700a187ba6d3c56411592890cff2d4,True,"[{'type': 'U32', 'type_name': 'EraIndex', 'value': 8534, 'name': 'era_index'}, {'type': 'U128', 'type_name': 'BalanceOf', 'value': '833012284462082', 'name': 'validator_payout'}, {'type': 'U128', 'type_name': 'BalanceOf', 'value': '293113094500934', 'name': 'remainder'}]"
2996840600000,1757075274,29968406-0,,2,staking,EraPaid,0x934965ce4129c4dc27f9ca9d00a787cb211d636aee7d39f788ac5b90d4fe666d,True,"[{'type': 'U32', 'type_name': 'EraIndex', 'value': 8533, 'name': 'era_index'}, {'type': 'U128', 'type_name': 'BalanceOf', 'value': '833279178185937', 'name': 'validator_payout'}, {'type': 'U128', 'type_name': 'BalanceOf', 'value': '292466315870230', 'name': 'remainder'}]"
