id,block_timestamp,event_index,extrinsic_index,phase,module_id,event_id,extrinsic_hash,finalized,params
2760898600000,1756913778,27608986-0,,2,staking,EraPaid,0x035ddc76ff42441e0b06236d364a5b587fd0ab4290470f7f5b5405f093efd514,True,"[{'type': 'U32', 'type_name': 'EraIndex', 'value': 1919, 'name': 'era_index'}, {'type': 'U128', 'type_name': 'BalanceOf', 'value': '2794584022385717', 'name': 'validator_payout'}, {'type': 'U128', 'type_name': 'BalanceOf', 'value': '493161886303361', 'name': 'remainder'}]"
2759466800000,1756827378,27594668-0,,2,staking,EraPaid,0xc8e00f2f2f5c89f90109bb9f7a0832db2de769fd8407c0f4fa45b47cbc2d7fd6,True,"[{'type': 'U32', 'type_name': 'EraIndex', 'value': 1918, 'name': 'era_index'}, {'type': 'U128', 'type_name': 'BalanceOf', 'value': '2794584022385717', 'name': 'validator_payout'}, {'type': 'U128', 'type_name': 'BalanceOf', 'value': '493161886303361', 'name': 'remainder'}]"
2758032400000,1756740978,27580324-0,,2,staking,EraPaid,0x7fc039b77edb3df408992757586aa2112db58b4fae340338df515c0eea0dde0a,True,"[{'type': 'U32', 'type_name': 'EraIndex', 'value': 1917, 'name': 'era_index'}, {'type': 'U128', 'type_name': 'BalanceOf', 'value': '2794583990038747', 'name': 'validator_payout'}, {'type': 'U128', 'type_name': 'BalanceOf', 'value': '493161880595073', 'name': 'remainder'}]"
2756597100000,1756654578,27565971-0,,2,staking,EraPaid,0x2b50979ea290d82bdb9cec9f9445d39d8b9d9be8777e07004830d39c1be07458,True,"[{'type': 'U32', 'type_name': 'EraIndex', 'value': 1916, 'name': 'era_index'}, {'type': 'U128', 'type_name': 'BalanceOf', 'value': '2794583990038747', 'name': 'validator_payout'}, {'type': 'U128', 'type_name': 'BalanceOf', 'value': '493161880595073', 'name': 'remainder'}]"
2755161500000,1756568178,27551615-0,,2,staking,EraPaid,0xc6a6e32afb37fe16e5d90947993dad060974ad7f340ddded6b41804b3facd27b,True,"[{'type': 'U32', 'type_name': 'EraIndex', 'value': 1915, 'name': 'era_index'}, {'type': 'U128', 'type_name': 'BalanceOf', 'value': '2794584022385717', 'name': 'validator_payout'}, {'type': 'U128', 'type_name': 'BalanceOf', 'value': '493161886303361', 'name': 'remainder'}]"
2753730000000,1756481778,27537300-0,,2,staking,EraPaid,0x4a483c723578f57b28f24c914d3503b2577dd7e24f6408bfdc3dcb681564357e,True,"[{'type': 'U32', 'type_name': 'EraIndex', 'value': 1914, 'name': 'era_index'}, {'type': 'U128', 'type_name': 'BalanceOf', 'value': '2794584054732686', 'name': 'validator_payout'}, {'type': 'U128', 'type_name': 'BalanceOf', 'value': '493161892011650', 'name': 'remainder'}]"
2752294100000,1756395378,27522941-0,,2,staking,EraPaid,0xae7bd0e92978bf9e9bb967103c6e78317d2245ad00999f5fc1985ccb763636a1,True,"[{'type': 'U32', 'type_name': 'EraIndex', 'value': 1913, 'name': 'era_index'}, {'type': 'U128', 'type_name': 'BalanceOf', 'value': '2794584054732686', 'name': 'validator_payout'}, {'type': 'U128', 'type_name': 'BalanceOf', 'value': '493161892011650', 'name': 'remainder'}]"
2750857800000,1756308978,27508578-0,,2,staking,EraPaid,0x5ea11d2f934d629bc054b8c350935d29ffb203a6c7f2e2d292a81793edf70bce,True,"[{'type': 'U32', 'type_name': 'EraIndex', 'value': 1912, 'name': 'era_index'}, {'type': 'U128', 'type_name': 'BalanceOf', 'value': '2794584022385717', 'name': 'validator_payout'}, {'type': 'U128', 'type_name': 'BalanceOf', 'value': '493161886303361', 'name': 'remainder'}]"
2749421500000,1756222578,27494215-0,,2,staking,EraPaid,0xf473ee80aedfbb9f3983fdd2857865db94255e1abcecb2a90e5f2d2bcf7fa132,True,"[{'type': 'U32', 'type_name': 'EraIndex', 'value': 1911, 'name': 'era_index'}, {'type': 'U128', 'type_name': 'BalanceOf', 'value': '2794584054732686', 'name': 'validator_payout'}, {'type': 'U128', 'type_name': 'BalanceOf', 'value': '493161892011650', 'name': 'remainder'}]"
2747985500000,1756136178,27479855-0,,2,staking,EraPaid,0x1b82a5170c913f64ab00a4d34c618343e903afba65bc902b852e070cb04f40d2,True,"[{'type': 'U32', 'type_name': 'EraIndex', 'value': 1910, 'name': 'era_index'}, {'type': 'U128', 'type_name': 'BalanceOf', 'value': '2794583990038747', 'name': 'validator_payout'}, {'type': 'U128', 'type_name': 'BalanceOf', 'value': '493161880595073', 'name': 'remainder'}]"
